"title,skills,experience,salary,location"
"Data Analyst,Python, SQL, Excel, Power BI,0-2 years,₹4-6 LPA,Bangalo"
"Data Analyst,Python, SQL, Tableau, Statistics,1-3 years,₹6-8 LPA,Hyderab"
"Business Analyst,Excel, SQL, Power BI, Communication,0-2 years,₹5-7 LPA,Pu"
"Data Scientist,Python, Machine Learning, SQL, Statistics,2-4 years,₹8-12 LPA,Bangalo"
"Junior Data Engineer,Python, SQL, Spark, AWS,1-3 years,₹7-10 LPA,Bangalo"
"Software Engineer,Java, DSA, OOPs, SQL,0-2 years,₹6-9 LPA,Chenn"
"Backend Developer,Python, Django, REST API, SQL,1-3 years,₹7-11 LPA,Remo"
"Machine Learning Engineer,Python, Machine Learning, Deep Learning, AWS,2-4 years,₹10-15 LPA,Bangalo"
"BI Analyst,SQL, Power BI, Excel, Data Visualization,1-3 years,₹6-9 LPA,Del"
"Data Analyst Intern,Python, Excel, SQL, Statistics,0-1 year,₹3-5 LPA,Remo"
"Cloud Data Engineer,Python, AWS, Spark, ETL,2-5 years,₹9-14 LPA,Bangalo"
"Analytics Consultant,Python, SQL, Power BI, Client Communication,1-3 years,₹7-10 LPA,Mumb"
